date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:54:52	29604/29604	---M-Z	200	added ('OK')	text/html	etag:W/%225d02977a-73a4%22	https://blackrockdigital.github.io/startbootstrap-agency/	C:/My%20Web%20Sites/project2/blackrockdigital.github.io/startbootstrap-agency/index.html	(from )
22:54:52	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-239b%22	https://blackrockdigital.github.io/robots.txt		(from )
22:54:53	155758/155758	---M-Z	200	added ('OK')	text/css	etag:W/%225d02977a-2606e%22	https://blackrockdigital.github.io/startbootstrap-agency/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/project2/blackrockdigital.github.io/startbootstrap-agency/vendor/bootstrap/css/bootstrap.min.css	(from https://blackrockdigital.github.io/startbootstrap-agency/)
22:54:53	55967/55967	---M-Z	200	added ('OK')	text/css	etag:W/%225d02977a-da9f%22	https://blackrockdigital.github.io/startbootstrap-agency/vendor/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/project2/blackrockdigital.github.io/startbootstrap-agency/vendor/fontawesome-free/css/all.min.css	(from https://blackrockdigital.github.io/startbootstrap-agency/)
22:54:53	13214/13214	---M-Z	200	added ('OK')	text/css	etag:W/%225d02977a-339e%22	https://blackrockdigital.github.io/startbootstrap-agency/css/agency.min.css	C:/My%20Web%20Sites/project2/blackrockdigital.github.io/startbootstrap-agency/css/agency.min.css	(from https://blackrockdigital.github.io/startbootstrap-agency/)
22:54:54	16792/16792	---M--	200	added ('OK')	image/jpeg	etag:%225d02977a-4198%22	https://blackrockdigital.github.io/startbootstrap-agency/img/portfolio/01-thumbnail.jpg	C:/My%20Web%20Sites/project2/blackrockdigital.github.io/startbootstrap-agency/img/portfolio/01-thumbnail.jpg	(from https://blackrockdigital.github.io/startbootstrap-agency/)
22:54:54	16459/16459	---M--	200	added ('OK')	image/jpeg	etag:%225d02977a-404b%22	https://blackrockdigital.github.io/startbootstrap-agency/img/portfolio/02-thumbnail.jpg	C:/My%20Web%20Sites/project2/blackrockdigital.github.io/startbootstrap-agency/img/portfolio/02-thumbnail.jpg	(from https://blackrockdigital.github.io/startbootstrap-agency/)
22:54:54	16604/16604	---M--	200	added ('OK')	image/jpeg	etag:%225d02977a-40dc%22	https://blackrockdigital.github.io/startbootstrap-agency/img/portfolio/03-thumbnail.jpg	C:/My%20Web%20Sites/project2/blackrockdigital.github.io/startbootstrap-agency/img/portfolio/03-thumbnail.jpg	(from https://blackrockdigital.github.io/startbootstrap-agency/)
22:54:54	16561/16561	---M--	200	added ('OK')	image/jpeg	etag:%225d02977a-40b1%22	https://blackrockdigital.github.io/startbootstrap-agency/img/portfolio/04-thumbnail.jpg	C:/My%20Web%20Sites/project2/blackrockdigital.github.io/startbootstrap-agency/img/portfolio/04-thumbnail.jpg	(from https://blackrockdigital.github.io/startbootstrap-agency/)
22:54:54	24273/24273	---M--	200	added ('OK')	image/jpeg	etag:%225d02977a-5ed1%22	https://blackrockdigital.github.io/startbootstrap-agency/img/portfolio/05-thumbnail.jpg	C:/My%20Web%20Sites/project2/blackrockdigital.github.io/startbootstrap-agency/img/portfolio/05-thumbnail.jpg	(from https://blackrockdigital.github.io/startbootstrap-agency/)
